,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData mean SpaceGroupNumber,MagpieData minimum Number,MagpieData mean Number,MagpieData maximum Number,MagpieData minimum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData minimum MeltingT,MagpieData mean MeltingT,MagpieData maximum MeltingT,MagpieData minimum Column,MagpieData mean Column,MagpieData maximum Column,MagpieData minimum Row,MagpieData mean Row,MagpieData maximum Row,MagpieData minimum CovalentRadius,MagpieData mean CovalentRadius,MagpieData maximum CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData maximum Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData maximum NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData maximum NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData maximum NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData maximum NfValence,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData maximum GSvolume_pa,PymatgenData minimum block,PymatgenData mean block,PymatgenData maximum block,PymatgenData minimum atomic_mass,PymatgenData mean atomic_mass,PymatgenData maximum atomic_mass,PymatgenData minimum atomic_radius,PymatgenData mean atomic_radius,PymatgenData maximum atomic_radius,cohesive energy (MP)
743,5.300489339037397,29.976385328606213,0.3664410699576316,958.0,999.0,1040.0,13.0,14.71,16.42,8.99382,9.373104999999999,9.75239,2.8921609168938818,0.6154797086703875,104.0,34.0,41.0,48.0,70.0,79.5,89.0,494.0,544.11,594.22,12.0,14.0,16.0,4.0,4.5,5.0,120.0,132.0,144.0,1.69,2.12,2.55,2.0,2.0,2.0,0.0,2.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,19.495,22.707500000000003,25.92,2.0,2.5,3.0,78.96,95.68549999999999,112.411,1.15,1.35,1.55,
744,5.356919475295219,29.52284143869611,0.3481188823972872,887.0,1422.25,2875.0,12.95,13.7975,16.29,7.34392,8.978735,9.7886,2.878540018136069,0.5753859984948148,166.75,33.0,41.0,50.0,70.0,79.5,84.0,505.08,819.825,1090.0,12.0,14.0,15.0,4.0,4.5,5.0,119.0,130.25,144.0,1.69,2.0025,2.18,2.0,2.0,2.0,0.0,2.0,3.0,10.0,10.0,10.0,0.0,0.0,0.0,19.495,24.2825,33.285,2.0,2.25,3.0,74.9216,95.24105,118.71,1.15,1.325,1.55,
745,5.43626545738967,36.24546709905061,0.3718305146318677,1040.0,1908.75,2875.0,13.0,16.4175,18.19,7.34392,8.38863,8.99382,3.0815490905972713,0.5755824907818408,166.75,48.0,50.0,51.0,70.0,80.0,85.0,505.08,726.7149999999999,903.78,12.0,14.0,15.0,5.0,5.0,5.0,139.0,140.25,144.0,1.69,1.9375,2.05,2.0,2.0,2.0,0.0,2.0,3.0,10.0,10.0,10.0,0.0,0.0,0.0,19.495,28.975,33.285,2.0,2.25,3.0,112.411,118.66024999999999,121.76,1.45,1.475,1.55,
746,5.472512271905128,36.41359051489047,0.3720118101880658,1040.0,1150.5,1261.0,13.0,16.73,20.46,8.99382,9.00171,9.0096,3.0859143414766197,0.6154797086703874,173.0,48.0,50.0,52.0,70.0,80.0,90.0,594.22,658.44,722.66,12.0,14.0,16.0,5.0,5.0,5.0,138.0,141.0,144.0,1.69,1.895,2.1,2.0,2.0,2.0,0.0,2.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,19.495,27.12916666665,34.7633333333,2.0,2.5,3.0,112.411,120.0055,127.6,1.4,1.475,1.55,
747,4.963213177313251,10.845925954056996,0.48620218237135576,90.2,1349.8285714285714,3200.0,6.67,12.938571428571427,17.36,6.76651,10.84089,13.61805,2.193747013265955,0.8296463307698053,100.0,8.0,15.285714285714286,27.0,49.0,72.0,87.0,54.8,906.7428571428571,2180.0,6.0,12.142857142857142,16.0,2.0,2.857142857142857,4.0,66.0,95.42857142857143,139.0,1.66,2.7085714285714286,3.44,1.0,1.7142857142857142,2.0,0.0,2.2857142857142856,4.0,0.0,2.4285714285714284,7.0,0.0,0.0,0.0,9.105,9.86357142857143,11.19,2.0,2.4285714285714284,3.0,15.9994,32.41757071428571,58.933195,0.6,0.9357142857142858,1.4,
748,4.135140243748833,16.704381593545545,0.4280248772099176,717.87,1708.4971428571428,3200.0,6.67,11.892857142857142,15.53,6.76651,8.979152857142859,10.36001,2.532777277778173,0.826111163428521,133.14285714285714,16.0,19.857142857142858,27.0,49.0,72.57142857142857,88.0,388.36,1097.3485714285714,2180.0,6.0,12.142857142857142,16.0,3.0,3.4285714285714284,4.0,105.0,117.71428571428571,139.0,1.66,2.217142857142857,2.58,1.0,1.7142857142857142,2.0,0.0,2.2857142857142856,4.0,0.0,2.4285714285714284,7.0,0.0,0.0,0.0,10.245,19.396071428571425,25.786875,2.0,2.4285714285714284,3.0,32.065,41.59791357142857,58.933195,1.0,1.1642857142857144,1.4,
749,6.192419272142385,18.340596489142712,0.45781795428192523,958.0,1845.7142857142858,3200.0,6.67,12.401428571428571,16.42,6.76651,8.631941428571428,9.75239,2.714238170606822,0.8226250874731011,101.14285714285714,24.0,30.142857142857142,34.0,49.0,73.14285714285714,89.0,494.0,1157.7142857142858,2180.0,6.0,12.142857142857142,16.0,4.0,4.0,4.0,120.0,126.28571428571429,139.0,1.66,2.1999999999999997,2.55,1.0,1.7142857142857142,2.0,0.0,2.2857142857142856,4.0,5.0,8.142857142857142,10.0,0.0,0.0,0.0,10.245,19.47214285714286,25.92,2.0,2.4285714285714284,3.0,51.9961,68.39505642857142,78.96,1.15,1.25,1.4,
750,4.377156522302147,18.348224437362603,0.38051621819627085,717.87,1945.56,3200.0,6.67,12.08,15.53,7.72638,9.084155,10.36001,2.4556901135513978,0.5930879268545581,143.625,16.0,22.625,32.0,58.0,77.125,88.0,388.36,906.0475000000001,1768.0,9.0,13.625,16.0,3.0,3.5,4.0,105.0,116.25,132.0,1.88,2.2512499999999998,2.58,1.0,1.75,2.0,0.0,2.25,4.0,0.0,4.625,10.0,0.0,0.0,0.0,10.245,19.8171875,25.786875,2.0,2.375,3.0,32.065,48.365649375,72.64,1.0,1.1625,1.35,
751,4.012250089059425,17.712003915730765,0.37579333862618486,717.87,1955.56,3200.0,6.67,11.88375,15.53,7.72638,9.11568625,10.36001,2.4273871809764107,0.5895902606498515,143.875,14.0,20.375,29.0,58.0,77.0,88.0,388.36,965.4975,1768.0,9.0,13.625,16.0,3.0,3.375,4.0,105.0,115.125,132.0,1.88,2.2375,2.58,1.0,1.75,2.0,0.0,2.25,4.0,0.0,3.375,10.0,0.0,0.0,0.0,10.245,19.4965625,25.786875,2.0,2.375,3.0,28.0855,42.796336875,63.546,1.0,1.14375,1.35,
752,4.5804007711558725,19.621793836124912,0.385051412490106,717.87,1918.31,3200.0,6.67,12.412499999999998,16.29,7.34392,9.01471625,10.36001,2.51514627072637,0.5954667545169365,133.125,16.0,24.875,50.0,58.0,77.25,88.0,388.36,817.7574999999999,1768.0,9.0,13.625,16.0,3.0,3.625,5.0,105.0,118.625,139.0,1.88,2.245,2.58,1.0,1.75,2.0,0.0,2.25,4.0,0.0,4.625,10.0,0.0,0.0,0.0,10.245,21.1021875,33.285,2.0,2.375,3.0,32.065,54.124399374999996,118.71,1.0,1.1875,1.45,
